Source File,GLOBALID,TfNSW_ProjectAndContractName,tbProjectContractCode,tbAEOSuppCode,tbAEOSuppName,tbDesignCompCode,tbDesignCompName,tbCoordSys,TfNSW_ProjectMilestoneDesc,TfNSW_StateDesc,TfNSW_SuitabilityDesc,TfNSW_DocumentNo,TfNSW_DocumentTitle,tbAEODisciplineCode,tbAEOSubDiscCode,TfNSW_AssetLocationID,TfNSW_ParentAssetLocationID,TfNSW_ProjectAssetLocationID,TfNSW_ParentProjectAssetLocationID,TfNSW_AssetLocationCode,TfNSW_ParentAssetLocationCode,TfNSW_AssetLocationDesc,TfNSW_UniclassAssetLocationCode,TfNSW_UniclassAssetLocationTitle,TfNSW_WorkZoneName,TfNSW_WorkZoneCode,Uniclass_CoCode,Uniclass_CoTitle,Uniclass_EnCode,Uniclass_EnTitle,Uniclass_SLCode,Uniclass_SLTitle,TfNSW_AssetID,TfNSW_ProjectAssetID,TfNSW_ParentAssetID,TfNSW_ParentProjectAssetID,TfNSW_AssetDataStandard,TfNSW_AssetTypeCode,TfNSW_AssetInstance,TfNSW_AssetCode,TfNSW_ParentAssetCode,TfNSW_AssetDescription,TfNSW_AssetLabel,TfNSW_UniclassAssetCode,TfNSW_UniclassAssetTitle,TfNSW_AssetTypeConfigCode,TfNSW_AssetTypeConfigDesc,TfNSW_DisciplineCode,TfNSW_SubDisciplineCode,TfNSW_WPDesignCode,TfNSW_WPSupplyCode,TfNSW_WPConstructionCode,TfNSW_WPCommissioningCode,TfNSW_AssetStatusCode,TfNSW_AssetOwnerOrgName,TfNSW_AssetOperatorOrgName,TfNSW_AssetMaintainerOrgName,TfNSW_StartKm,TfNSW_EndKm,TfNSW_GPSCoordinates,Uniclass_EFCode,Uniclass_EFTitle,Uniclass_SsCode,Uniclass_SsTitle,Uniclass_PrCode,Uniclass_PrTitle
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,1RbU7woPLFLurdpgvy$Uot,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,AE166CD8,5E9AB15D,0139A,139,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,2,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,0139A.LT.LITE.I.300_2,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.070,0.070,"-33.786601,151.085071",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,0_CoBaxOPEPhBNfKiS7Yvw,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,AE166CD8,5E9AB15D,0139A,139,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,1,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,0139A.LT.LITE.I.300_1,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.037,0.037,"-33.786311,151.085087",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,3b9k8M4v1EEfBm3O3sHZ5g,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,AE166CD8,5E9AB15D,0139A,139,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,3,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,0139A.LT.LITE.I.300_3,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.097,0.097,"-33.786827,151.0853",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,3my1xWJbbDYgQmwjW8LY8T,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,E1553729,1350147C,2024A,2024,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,15,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,2024A.LT.LITE.I.300_15,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.084,0.084,"-33.786478,151.086105",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,3toLYIUETA4AA7DJWsycxB,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,E1553729,1350147C,2024A,2024,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,12,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,2024A.LT.LITE.I.300_12,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.052,0.052,"-33.786364,151.085727",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,1ixGXPmTXFxgspHQnAcpct,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,E1553729,1350147C,2024A,2024,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,4,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,2024A.LT.LITE.I.300_4,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.014,0.014,"-33.786359,151.085479",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,1QZpKT6wrFSfDUuldavHrN,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,E1553729,1350147C,2024A,2024,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,16,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,2024A.LT.LITE.I.300_16,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.147,0.147,"-33.78632,151.086959",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,1ZC_a2jXLACfD5cF6jHZxR,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,E1553729,1350147C,2024A,2024,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,5,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,2024A.LT.LITE.I.300_5,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.035,0.035,"-33.786578,151.085595",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,1PTWJW7yfCyAhv0C93pyQr,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,E1553729,1350147C,2024A,2024,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,11,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,2024A.LT.LITE.I.300_11,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.114,0.114,"-33.786268,151.086392",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,3qiw128nnDJv0qw4vFCPBN,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,E1553729,1350147C,2024A,2024,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,6,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,2024A.LT.LITE.I.300_6,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,ISOP,Ausgrid,Ausgrid,Ausgrid,0.036,0.036,"-33.786145,151.085744",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,1FCdQitQXClg7Q0J6ygiXC,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,AE166CD8,5E9AB15D,0139A,139,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,13,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,0139A.LT.LITE.I.300_13,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.049,0.049,"-33.786398,151.085316",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,0WCR0SGaf47QqXm1FrGGfH,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,AE166CD8,5E9AB15D,0139A,139,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,2,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,0139A.LT.LITE.I.300_2,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.070,0.070,"-33.786601,151.085071",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,0xsJbAy_H62gXSWorQ1sfE,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,AE166CD8,5E9AB15D,0139A,139,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,1,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,0139A.LT.LITE.I.300_1,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.037,0.037,"-33.786311,151.085087",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,0_tpm$9WD7UBqKyXSnd6gZ,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,AE166CD8,5E9AB15D,0139A,139,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,3,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,0139A.LT.LITE.I.300_3,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.097,0.097,"-33.786827,151.0853",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,10YcrFDMzFdhpv21MQfLfE,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,E1553729,1350147C,2024A,2024,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,15,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,2024A.LT.LITE.I.300_15,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.084,0.084,"-33.786478,151.086105",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,13kVNMmmjCRAG5xzFXz2To,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,E1553729,1350147C,2024A,2024,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,12,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,2024A.LT.LITE.I.300_12,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.052,0.052,"-33.786364,151.085727",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,1MV4Q93x93gOD9gsfWZOcS,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,E1553729,1350147C,2024A,2024,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,4,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,2024A.LT.LITE.I.300_4,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.014,0.014,"-33.786359,151.085479",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,2yKSjnPlbD0Q82EoJUPu24,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,E1553729,1350147C,2024A,2024,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,16,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,2024A.LT.LITE.I.300_16,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.147,0.147,"-33.78632,151.086959",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,3YZ$7vPBj6UvMbTUxETDYO,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,E1553729,1350147C,2024A,2024,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,5,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,2024A.LT.LITE.I.300_5,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.035,0.035,"-33.786578,151.085595",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,0p0F1a$kv86QT7qzROMhTw,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,E1553729,1350147C,2024A,2024,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,11,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,2024A.LT.LITE.I.300_11,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.114,0.114,"-33.786268,151.086392",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,2cgvV0NGXBZBzliZ49JIhN,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,E1553729,1350147C,2024A,2024,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,6,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,2024A.LT.LITE.I.300_6,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,ISOP,Ausgrid,Ausgrid,Ausgrid,0.036,0.036,"-33.786145,151.085744",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
ESCBRBRDD-SNJV-0139-LV-M3D-000901.ifc,2$Gmsau1D52RF7lw_UD3zR,Blaxland Road and Balaclava Road - Detailed Design,ESCBRBRDD,-,-,SNJV,Sustain Joint Venture,GDA2020/MGA Zone56,Detailed Design - 100%,CLIENT SHARED,FOR REVIEW AND COMMENT,ESCBRBRDD-SNJV-0139-LV-M3D-000901,Lighting Model,EL,LV,-,-,AE166CD8,5E9AB15D,0139A,139,Single Carriageway,SL_80_35_13,Carriageways,-,-,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35_13,Carriageways,-,-,-,D0F0077E,RAMS,I.300,13,LT.LITE.I.300,LT.LITE,Light - Integral Head - 300 Wattage,0139A.LT.LITE.I.300_13,Pr_80_77_48_80,Steel lighting columns,-,-,EL,LV,-,-,-,-,PLAN,Ausgrid,Ausgrid,Ausgrid,0.049,0.049,"-33.786398,151.085316",EF_70_80,Lighting,Ss_70_80_25_70,Roadway lighting systems,Pr_80_77_48_80,Steel lighting columns
